"Name","Year","Average amount of student loans received by full-time freshmen who borrowed","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Per capita amount received in student loans by full-time freshmen  ","Average debt of graduates","Percent of graduates with debt","Per capita debt of graduates","Average debt of graduates in federal loans","Percent of graduates borrowing federal loans","Nonfederal debt of graduates, as percent of total debt","Average percentage of need met of full-time undergraduates"
"Minnesota - Public, 4-year or above","2017-18","","","","","29569","0.66","19516","22367","0.65","0.26","0.7"
"Minnesota - Public, 4-year or above","2016-17","8236","9933","0.6","4941","29467","0.68","20038","23095","0.66","0.24","0.7"
"Minnesota - Public, 4-year or above","2015-16","8103","9673","0.6","4862","30091","0.67","20161","23097","0.66","0.24","0.68"
"Minnesota - Public, 4-year or above","2011-12","7689","10826","0.64","4921","29958","0.69","20567","22611","0.67","0.27","0.71"
"Minnesota - Public, 4-year or above","2012-13","7556","10200","0.62","4685","29657","0.69","20566","22635","0.65","0.28","0.68"
"Minnesota - Public, 4-year or above","2013-14","7682","10140","0.62","4763","29800","0.69","20419","22965","0.67","0.25","0.67"
"Minnesota - Public, 4-year or above","2014-15","7806","9996","0.62","4840","29377","0.69","20354","21990","0.68","0.27","0.67"
"Minnesota - Public, 4-year or above","2010-11","7225","11135","0.65","4696","28907","0.7","20261","20355","0.67","0.33","0.69"
"Minnesota - Public, 4-year or above","2009-10","7204","10521","0.62","4466","27613","0.7","19256","18374","0.67","0.36","0.77"
"Minnesota - Public, 4-year or above","2008-09","7502","10196","0.6","4501","26308","0.71","18547","17322","0.68","0.37","0.72"
"Minnesota - Public, 4-year or above","2007-08","6594","9606","0.57","3758","23526","0.71","16630","15971","0.69","0.34","0.73"
"Minnesota - Public, 4-year or above","2003-04","4392","10060","0.6","2635","17256","0.7","12162","","","","0.77"
"Minnesota - Public, 4-year or above","2004-05","5048","10152","0.61","3079","18170","0.67","12251","","","","0.77"
"Minnesota - Public, 4-year or above","2005-06","5436","9904","0.61","3316","20618","0.72","14766","","","","0.77"
"Minnesota - Public, 4-year or above","2006-07","5806","9934","0.6","3483","22224","0.72","15939","","","","0.74"
"Minnesota - Public, 4-year or above","2000-01","3394","8687","0.55","1867","","","","","","","0.71"
"Washington - Total","2017-18","","","","","23524","0.48","11292","20475","0.47","0.15","0.73"
"Washington - Total","2016-17","6627","18120","0.39","2584","23936","0.52","12447","20673","0.52","0.14","0.75"
"Washington - Total","2015-16","6668","17600","0.39","2601","24609","0.53","13043","21591","0.52","0.14","0.75"
"Washington - Total","2011-12","6614","19746","0.46","3042","23293","0.56","13099","16005","0.56","0.32","0.79"
"Washington - Total","2012-13","6631","18905","0.44","2918","24418","0.58","14152","22164","0.56","0.12","0.77"
"Washington - Total","2013-14","6776","18505","0.43","2914","24804","0.58","14294","22751","0.57","0.09","0.77"
"Washington - Total","2014-15","6609","18035","0.42","2776","24600","0.57","13990","21762","0.55","0.14","0.75"
"Washington - Total","2010-11","6684","19868","0.45","3075","22220","0.56","12538","20113","0.59","0.05","0.8"
"Washington - Total","2009-10","6940","22803","0.47","3401","22101","0.59","12941","18314","0.59","0.17","0.78"
"Washington - Total","2008-09","6623","18128","0.41","2848","19780","0.58","11533","17123","0.55","0.19","0.79"
"Washington - Total","2007-08","5337","15324","0.39","2295","19112","0.59","11304","16412","0.57","0.17","0.83"
"Washington - Total","2003-04","4455","15413","0.37","1827","17415","0.56","9679","","","","0.78"
"Washington - Total","2004-05","4346","15721","0.4","1912","20845","0.61","12672","","","","0.8"
"Washington - Total","2005-06","4376","15454","0.38","1882","17786","0.59","10418","","","","0.79"
"Washington - Total","2006-07","4453","14662","0.38","1915","18413","0.58","10768","","","","0.82"
"Washington - Total","2000-01","4042","14585","0.37","1536","","","","","","","0.48"
"California - Public, 4-year or above","2017-18","","","","","20458","0.48","9820","19066","0.47","0.09","0.75"
"California - Public, 4-year or above","2016-17","5433","39730","0.32","1793","20382","0.5","10191","19078","0.5","0.06","0.72"
"California - Public, 4-year or above","2015-16","5433","38504","0.37","2010","20477","0.52","10648","19284","0.52","0.06","0.73"
"California - Public, 4-year or above","2011-12","5379","39329","0.43","2313","17994","0.5","9071","17558","0.5","0.03","0.75"
"California - Public, 4-year or above","2012-13","5460","39050","0.42","2293","18066","0.53","9649","17322","0.53","0.04","0.73"
"California - Public, 4-year or above","2013-14","5530","39195","0.39","2157","19476","0.53","10333","18370","0.53","0.05","0.73"
"California - Public, 4-year or above","2014-15","5440","39991","0.38","2067","19344","0.53","10259","18482","0.53","0.05","0.72"
"California - Public, 4-year or above","2010-11","5132","33548","0.41","2104","16840","0.5","8380","16603","0.49","0.03","0.75"
"California - Public, 4-year or above","2009-10","5127","32418","0.39","2000","15913","0.46","7366","15184","0.47","0.03","0.76"
"California - Public, 4-year or above","2008-09","4769","29906","0.34","1621","14739","0.45","6670","14112","0.45","0.04","0.79"
"California - Public, 4-year or above","2007-08","4134","27105","0.32","1323","14486","0.43","6185","14052","0.43","0.03","0.75"
"California - Public, 4-year or above","2003-04","3137","21178","0.31","973","13637","0.45","6105","","","","0.77"
"California - Public, 4-year or above","2004-05","3371","20471","0.31","1045","13131","0.45","5895","","","","0.73"
"California - Public, 4-year or above","2005-06","3486","21986","0.3","1046","14761","0.44","6468","","","","0.75"
