Series Description,"Finance rate on consumer installment loans at commercial banks, new autos 48 month loan; not seasonally adjusted","Finance rate on consumer installment loans at commercial banks, new autos 60 month loan; not seasonally adjusted","Finance rate on personal loans at commercial banks, 24 month loan; not seasonally adjusted","Commercial bank interest rate on credit card plans, all accounts; not seasonally adjusted","Commercial bank interest rate on credit card plans, accounts assessed interest; not seasonally adjusted","New car average finance rate at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Weighted-average maturity of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Loan-to-value ratio of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average amount financed for new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average maturity of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average finance rate of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average amount financed for new car loans at finance companies, not seasonally adjusted","Percent change of total consumer credit, seasonally adjusted at an annual rate","Percent change of total revolving consumer credit, seasonally adjusted at an annual rate","Percent change of total nonrevolving consumer credit, seasonally adjusted at an annual rate","Total consumer credit owned and securitized, seasonally adjusted level","Revolving consumer credit owned and securitized, seasonally adjusted level","Nonrevolving consumer credit owned and securitized, seasonally adjusted level","Total consumer credit owned and securitized, not seasonally adjusted level","Total consumer loans owned by depository institutions, not seasonally adjusted level","Total consumer loans owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Total consumer loans owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Total consumer loans owned by finance companies, not seasonally adjusted level","Total consumer loans owned by credit unions, not seasonally adjusted level","Total consumer loans owned by federal government, not seasonally adjusted level","Total consumer loans owned by nonprofit and educational institutions, not seasonally adjusted level","Total consumer loans owned by nonfinancial business, not seasonally adjusted level","Securitized total consumer loans, not seasonally adjusted level","Revolving consumer credit owned and securitized, not seasonally adjusted level","Consumer revolving credit owned by depository institutions, not seasonally adjusted level","Consumer revolving credit owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Consumer revolving credit owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Consumer revolving credit owned by finance companies, not seasonally adjusted level","Consumer revolving credit owned by credit unions, not seasonally adjusted level","Consumer revolving credit owned by nonfinancial business, not seasonally adjusted level","Securitized consumer revolving credit, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized, not seasonally adjusted level","Nonrevolving consumer loans owned by depository institutions, not seasonally adjusted level","Nonrevolving consumer loans owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Nonrevolving consumer loans owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Nonrevolving consumer loans owned by finance companies, not seasonally adjusted level","Nonrevolving consumer loans owned by credit unions, not seasonally adjusted level","Nonrevolving consumer loans owned by federal government, not seasonally adjusted level","Nonrevolving consumer loans owned by nonprofit and educational institutions, not seasonally adjusted level","Nonrevolving consumer loans owned by nonfinancial business, not seasonally adjusted level","Securitized consumer nonrevolving credit, not seasonally adjusted level","Student loans owned and securitized, not seasonally adjusted level","Motor vehicle loans owned and securitized, not seasonally adjusted level","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Total consumer loans owned by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer loans owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer loans owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer loans owned by finance companies, not seasonally adjusted flow, monthly rate","Total consumer loans owned by credit unions, not seasonally adjusted flow, monthly rate","Total consumer loans owned by federal government, not seasonally adjusted flow, monthly rate","Total consumer loans owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Total consumer loans owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Securitized total consumer loans, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Consumer revolving credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Consumer revolving credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Consumer revolving credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Consumer revolving credit owned by finance companies, not seasonally adjusted flow, monthly rate","Consumer revolving credit owned by credit unions, not seasonally adjusted flow, monthly rate","Consumer revolving credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Securitized consumer revolving credit, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Nonrevolving consumer loans owned by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer loans owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer loans owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer loans owned by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer loans owned by credit unions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer loans owned by federal government, not seasonally adjusted flow, monthly rate","Nonrevolving consumer loans owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer loans owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Securitized consumer nonrevolving credit, not seasonally adjusted flow, monthly rate","Student loans owned and securitized, not seasonally adjusted flow, monthly rate","Motor vehicle loans owned and securitized, not seasonally adjusted flow, monthly rate"
Unit:,Percent,Percent,Percent,Percent,Percent,Percent,Months,Percent,Currency,Months,Percent,Currency,Percent,Percent,Percent,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency
Multiplier:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
Currency:,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Unique Identifier: ,G19/TERMS/RIFLPBCIANM48_N.M,G19/TERMS/RIFLPBCIANM60_N.M,G19/TERMS/RIFLPBCIPLM24_N.M,G19/TERMS/RIFSPBCICC_N.M,G19/TERMS/RIFSPBCICCI_N.M,G19/TERMS/H0.RIFLPCFAN_N.M,G19/TERMS/H0.DTCTLVNM_N.M,G19/TERMS/H0.DTCTLVNL_N.M,G19/TERMS/H0.DTCTLVNA_N.M,G19/TERMS/DTCTLVENM_N.M,G19/TERMS/RIELPCFAN_N.M,G19/TERMS/DTCTLVENA_N.M,G19/CCOUT/DTCTL_@%A_BA.M,G19/CCOUT/DTCTLR_@%A_BA.M,G19/CCOUT/DTCTLN_@%A_BA.M,G19/CCOUT/DTCTL.M,G19/CCOUT/DTCTLR.M,G19/CCOUT/DTCTLN.M,G19/CCOUT/DTCTL_N.M,G19/CCOUT/DTCOLHD_N.M,G19/CCOUT/H0.DTCOLHDB_N.M,G19/CCOUT/H0.DTCOLHDS_N.M,G19/CCOUT/DTCOLHF_N.M,G19/CCOUT/DTCOLHC_N.M,G19/CCOUT/DTCOLHG_N.M,G19/CCOUT/DTCOLHE_N.M,G19/CCOUT/DTCOLHN_N.M,G19/CCOUT/DTCNL_N.M,G19/CCOUT/DTCTLR_N.M,G19/CCOUT/DTCOLRHD_N.M,G19/CCOUT/H0.DTCOLRHDB_N.M,G19/CCOUT/H0.DTCOLRHDS_N.M,G19/CCOUT/DTCOLRHF_N.M,G19/CCOUT/DTCOLRHC_N.M,G19/CCOUT/DTCOLRHN_N.M,G19/CCOUT/DTCNLR_N.M,G19/CCOUT/DTCTLN_N.M,G19/CCOUT/DTCOLNHD_N.M,G19/CCOUT/H0.DTCOLNHDB_N.M,G19/CCOUT/H0.DTCOLNHDS_N.M,G19/CCOUT/DTCOLNHF_N.M,G19/CCOUT/DTCOLNHC_N.M,G19/CCOUT/DTCOLNHG_N.M,G19/CCOUT/DTCOLNHE_N.M,G19/CCOUT/DTCOLNHN_N.M,G19/CCOUT/DTCNLN_N.M,G19/CCOUT/DTCTLNS_N.M,G19/CCOUT/DTCTLNV_N.M,G19/CCOUT/DTCTL_XDF_BA.M,G19/CCOUT/DTCTLR_XDF_BA.M,G19/CCOUT/DTCTLN_XDF_BA.M,G19/CCOUT/DTCTL_XDF_BA_N.M,G19/CCOUT/DTCOLHD_XDF_BA_N.M,G19/CCOUT/H0.DTCOLHDB_XDF_BA_N.M,G19/CCOUT/H0.DTCOLHDS_XDF_BA_N.M,G19/CCOUT/DTCOLHF_XDF_BA_N.M,G19/CCOUT/DTCOLHC_XDF_BA_N.M,G19/CCOUT/DTCOLHG_XDF_BA_N.M,G19/CCOUT/DTCOLHE_XDF_BA_N.M,G19/CCOUT/DTCOLHN_XDF_BA_N.M,G19/CCOUT/DTCNL_XDF_BA_N.M,G19/CCOUT/DTCTLR_XDF_BA_N.M,G19/CCOUT/DTCOLRHD_XDF_BA_N.M,G19/CCOUT/H0.DTCOLRHDB_XDF_BA_N.M,G19/CCOUT/H0.DTCOLRHDS_XDF_BA_N.M,G19/CCOUT/DTCOLRHF_XDF_BA_N.M,G19/CCOUT/DTCOLRHC_XDF_BA_N.M,G19/CCOUT/DTCOLRHN_XDF_BA_N.M,G19/CCOUT/DTCNLR_XDF_BA_N.M,G19/CCOUT/DTCTLN_XDF_BA_N.M,G19/CCOUT/DTCOLNHD_XDF_BA_N.M,G19/CCOUT/H0.DTCOLNHDB_XDF_BA_N.M,G19/CCOUT/H0.DTCOLNHDS_XDF_BA_N.M,G19/CCOUT/DTCOLNHF_XDF_BA_N.M,G19/CCOUT/DTCOLNHC_XDF_BA_N.M,G19/CCOUT/DTCOLNHG_XDF_BA_N.M,G19/CCOUT/DTCOLNHE_XDF_BA_N.M,G19/CCOUT/DTCOLNHN_XDF_BA_N.M,G19/CCOUT/DTCNLN_XDF_BA_N.M,G19/CCOUT/DTCTLNS_XDF_BA_N.M,G19/CCOUT/DTCTLNV_XDF_BA_N.M
2000-01,ND,,ND,ND,ND,7.33,53.77,91.38,20503.45,,,,5.81,8.15,4.26,1538520.18,614846.55,923673.63,1551875.76,567643.81,506793.2,60850.62,205458.36,167844,83956.79,,73136.03,453836.77,620440.57,208898.59,193655.2,15243.4,32971.42,20156,36834.03,321580.53,931435.19,358745.22,313138,45607.22,172486.94,147688,83956.79,,36302,132256.24,,ND,7414.22,4150.08,3264.14,-1746.26,-1840.47,-970.08,-870.38,3816.74,-77,2159.38,,-2983.34,-2821.57,-7026.7,-3838.69,-3702.08,-136.6,488.15,-485,-1757.34,-1433.81,5280.44,1998.22,2732,-733.78,3328.59,408,2159.38,,-1226,-1387.76,,ND
2000-02,8.88,,13.76,15.55,14.3,7.44,53.63,91.89,20206.21,,,,8.32,4.85,10.63,1549185.29,617332.56,931852.73,1549328.5,567566.23,507529.85,60036.38,207819.94,167932,83777.99,,72129.86,450102.48,617085.6,209876.45,194760.85,15115.6,31308.56,19901,36539.86,319459.72,932242.91,357689.78,312769,44920.78,176511.38,148031,83777.99,,35590,130642.76,,ND,10665.11,2486.02,8179.09,-2547.25,-77.58,736.65,-814.23,2361.58,88,-178.8,,-1006.17,-3734.3,-3354.97,977.86,1105.65,-127.79,-1662.85,-255,-294.17,-2120.81,807.72,-1055.44,-369,-686.44,4024.44,343,-178.79,,-712,-1613.48,,ND
2000-03,ND,,ND,ND,ND,6.92,53.98,92.91,20394.79,,,,9.5,10.07,9.13,1561450.69,622510.97,938939.72,1553765,564838.96,505672.96,59166,204990.09,169225,83968.38,,71828.73,458913.84,616812.49,208432.96,193453.96,14979,29687.96,19706,36351.73,322633.84,936952.51,356406,312219,44187,175302.13,149519,83968.38,,35477,136280,,521215.44,12265.4,5178.41,7087,4436.5,-2727.27,-1856.89,-870.38,-2829.85,1293,190.39,,-301.13,8811.37,-273.1,-1443.49,-1306.89,-136.6,-1620.6,-195,-188.13,3174.13,4709.6,-1283.78,-550,-733.78,-1209.25,1488,190.39,,-113,5637.24,,3398.17
2000-04,ND,,ND,ND,ND,6.67,54.44,93.29,20541.56,,,,6.98,6.22,7.48,1570527.74,625735.94,944791.8,1564206.5,568160.77,508317.63,59843.14,205800.87,171038,84773.41,,72615.79,461817.66,624001.02,212448.88,197312.63,15136.25,30104.45,19851,37060.79,324535.91,940205.48,355711.89,311005,44706.89,175696.42,151187,84773.41,,35555,137281.76,,ND,9077.05,3224.97,5852.08,10441.5,3321.81,2644.67,677.14,810.78,1813,805.02,,787.06,2903.82,7188.53,4015.92,3858.67,157.25,416.48,145,709.06,1902.06,3252.97,-694.11,-1214,519.89,394.3,1668,805.03,,78,1001.76,,ND
2000-05,9.22,,13.89,15.6,14.76,6.72,54.37,92.88,20620.66,,,,9.92,11.74,8.71,1583507.92,631857.15,951650.78,1576800.03,571218.54,510675.69,60542.86,209769.87,173471,85015.7,,73231.55,464093.37,629885.29,216296.43,200997.69,15298.75,29693.18,19930,37474.55,326491.13,946914.73,354922.11,309678,45244.11,180076.69,153541,85015.69,,35757,137602.24,,ND,12980.18,6121.21,6858.98,12593.53,3057.78,2358.06,699.71,3969,2433,242.29,,615.76,2275.7,5884.27,3847.56,3685.06,162.49,-411.27,79,413.76,1955.22,6709.25,-789.78,-1327,537.22,4380.27,2354,242.28,,202,320.48,,ND
2000-06,ND,,ND,ND,ND,6.82,55.65,92.26,20349.37,,,,19.73,13.87,23.63,1609548.04,639158.55,970389.49,1601771.29,576183.54,514963.54,61220,212963.38,176030,85277.37,,74293.45,477023.56,636948.85,218967.54,203511.54,15456,31142.39,20172,37891.45,328775.47,964822.44,357216,311452,45764,181820.98,155858,85277.37,,36402,148248.09,,546784.59,26040.11,7301.4,18738.72,24971.26,4964.99,4287.85,677.14,3193.51,2559,261.67,,1061.9,12930.19,7063.55,2671.1,2513.85,157.25,1449.21,242,416.9,2284.34,17907.71,2293.89,1774,519.89,1744.3,2317,261.67,,645,10645.85,,8523.05
