 ,24 or Younger,24 - Younger,25 to 34,25 - 34,35 to 49,35 - 49,50 to 61,50 -61,62 and Older,62 - Older
Debt Size ,Dollars Outstanding            (in billions),Borrowers    (in millions),Dollars Outstanding           (in billions),Borrowers    (in millions),Dollars Outstanding            (in billions),Borrowers    (in millions),Dollars Outstanding           (in billions),Borrowers    (in millions),Dollars Outstanding            (in billions),Borrowers    (in millions)
Less than 5K,$5.78,2.03,$6.55,2.49,$5.52,2.22,$2.57,1.05,$1.05,0.46
5K to 10K,$14.89,2.05,$16.80,2.28,$14.13,1.91,$6.75,0.91,$2.53,0.34
10K to 20K,$29.10,2.02,$46.12,3.17,$37.00,2.55,$15.76,1.09,$5.41,0.38
20K to 40K,$48.40,1.78,$99.30,3.45,$81.16,2.80,$31.24,1.09,$9.87,0.35
40K to 60K,$10.07,0.21,$75.03,1.54,$79.68,1.62,$29.36,0.60,$8.72,0.18
60K to 80K,$3.97,0.06,$56.47,0.82,$76.85,1.11,$27.99,0.40,$7.92,0.11
80K to 100K,$2.32,0.03,$30.82,0.35,$55.84,0.63,$22.47,0.25,$6.42,0.07
100K to 200K,$5.47,0.04,$80.48,0.58,$134.34,0.98,$62.57,0.45,$18.83,0.14
200K+,$1.22,0.00,$89.97,0.30,$90.97,0.32,$42.52,0.15,$15.16,0.05
